Tag,Inorganic phosphor,Host,1st dopant,1st doping concentration,2nd dopant,2nd doping concentration ,Temp. (K),Emission max. (nm),CIE x coordinate,CIE y coordinate,Int. quantum efficiency (%),Ext. quantum efficiency (%),Thermal quenching temp. (K),Excitation source (nm),1st Excitation max. (nm),2nd Excitation max. (nm),3rd Excitation max. (nm),Decay time (ns),Monitoring energy (nm),Reference,MP-ID,ICSD-ID,Journal,Year
19,Ca3Gd0.7Al3O15B4Eu0.3,Ca3Gd0.7Al3O15B4,Eu3+,0.3,,,298,621,,,,,,397,,,,1863000,621,https://doi.org/10.1016/j.dyepig.2018.03.005,,,Dyes and Pigments,2018
20,Ca3Gd0.5Al3O15B4Eu0.5,Ca3Gd0.5Al3O15B4,Eu3+,0.5,,,298,621,0.654,0.343,90,17.7,553,397,397,325,465,1696000,621,https://doi.org/10.1016/j.dyepig.2018.03.005,,,Dyes and Pigments,2018
21,Ca3Gd0.2Al3O15B4Eu0.7,Ca3Gd0.2Al3O15B4,Eu3+,0.7,,,298,621,,,,,,397,,,,1457000,621,https://doi.org/10.1016/j.dyepig.2018.03.005,,,Dyes and Pigments,2018
22,Ca3Al3O15B4Eu1,Ca3Al3O15B4,Eu3+,1,,,298,621,,,,,,397,,,,1143000,621,https://doi.org/10.1016/j.dyepig.2018.03.005,,,Dyes and Pigments,2018
23,Na3Sc2P3O12Eu0.1,Na3Sc2P3O12,Eu3+,0.1,,,298,621,0.641,0.358,,,,395,395,,,,621,https://doi.org/10.1016/j.dyepig.2018.03.053,"mp-16956,mp-1221280,mp-555608", icsd-65406 icsd-20740,Dyes and Pigments,2018
24,Na3Bi1.95P3O12Eu0.05,Na3Bi1.95P3O12,Eu3+,0.05,,,298,621,0.637,0.358,35.59,,,396,396,,,2318000,621,https://doi.org/10.1016/S1002-0721(16)60106-0,,,Journal of Rare Earths,2016
25,Ca3Lu0.9Ga3B4O15Eu0.1,Ca3Lu0.9Ga3B4O15,Eu3+,0.1,,,298,621,,,,,,397,397,,,1613000,621,https://doi.org/10.1016/j.jlumin.2018.06.010,,,Journal of Luminescence,2018
26,Ca3Lu0.7Ga3B4O15Eu0.3,Ca3Lu0.7Ga3B4O15,Eu3+,0.3,,,298,621,,,,,,397,397,,,1532000,621,https://doi.org/10.1016/j.jlumin.2018.06.010,,,Journal of Luminescence,2018
27,Ca3Lu0.5Ga3B4O15Eu0.5,Ca3Lu0.5Ga3B4O15,Eu3+,0.5,,,298,621,,,,,,397,397,,,1452000,621,https://doi.org/10.1016/j.jlumin.2018.06.010,,,Journal of Luminescence,2018
28,Ca3Lu0.3Ga3B4O15Eu0.7,Ca3Lu0.3Ga3B4O15,Eu3+,0.7,,,298,621,0.659,0.339,84,,560,397,397,,,1347000,621,https://doi.org/10.1016/j.jlumin.2018.06.010,,,Journal of Luminescence,2018
29,Ca3Lu0.1Ga3B4O15Eu0.9,Ca3Lu0.1Ga3B4O15,Eu3+,0.9,,,298,621,,,,,,397,397,,,1170000,621,https://doi.org/10.1016/j.jlumin.2018.06.010,,,Journal of Luminescence,2018
30,Ca3Ga3B4O15Eu1,Ca3Ga3B4O15,Eu3+,1,,,298,621,,,,,,397,397,,,1060000,621,https://doi.org/10.1016/j.jlumin.2018.06.010,,,Journal of Luminescence,2018
31,Y0.2Sc0.8VO4Bi0.01,Y0.2Sc0.8VO4,Bi3+,0.01,,,298,621,0.51,0.455,49.4,,,330,,,,,,https://doi.org/10.1021/acs.chemmater.6b00277,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,Chemistry of Materials,2016
32,Na3Bi0.8P2O8Eu0.1Tb0.1,Na3Bi0.8P2O8,Eu2+,0.1,Tb3+,0.1,298,621,0.563,0.408,36.75,,,396,,,,2505000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
33,Na3Bi0.75P2O8Eu0.15Tb0.1,Na3Bi0.75P2O8,Eu2+,0.15,Tb3+,0.1,298,621,0.612,0.373,41.99,,,396,,,,2510000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
34,Na3Bi0.7P2O8Eu0.2Tb0.1,Na3Bi0.7P2O8,Eu2+,0.2,Tb3+,0.1,298,621,0.623,0.364,36.42,,,396,,,,2570000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
35,Na3Bi0.65P2O8Eu0.25Tb0.1,Na3Bi0.65P2O8,Eu2+,0.25,Tb3+,0.1,298,621,0.628,0.36,41.99,,,396,,,,2600000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
36,Na3Bi0.6P2O8Eu0.3Tb0.1,Na3Bi0.6P2O8,Eu2+,0.3,Tb3+,0.1,298,621,0.633,0.357,41.54,,,396,,,,2650000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
37,Na3Bi0.8P2O8Eu0.1Dy0.1,Na3Bi0.8P2O8,Eu3+,0.1,Dy3+,0.1,298,621,0.522,0.376,44.36,,,396,,,,16200000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
38,Na3Bi0.78P2O8Eu0.12Dy0.1,Na3Bi0.78P2O8,Eu3+,0.12,Dy3+,0.1,298,621,0.524,0.373,43.24,,,396,,,,16100000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
39,Na3Bi0.75P2O8Eu0.15Dy0.1,Na3Bi0.75P2O8,Eu3+,0.15,Dy3+,0.1,298,621,0.532,0.37,41.35,,,396,,,,15900000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
40,Na3Bi0.7P2O8Eu0.2Dy0.1,Na3Bi0.7P2O8,Eu3+,0.2,Dy3+,0.1,298,621,0.542,0.363,40.26,,,396,,,,14400000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
41,Na3Bi0.65P2O8Eu0.25Dy0.1,Na3Bi0.65P2O8,Eu3+,0.25,Dy3+,0.1,298,621,0.559,0.36,41.38,,,396,,,,12800000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
42,Na3Bi0.6P2O8Eu0.3Dy0.1,Na3Bi0.6P2O8,Eu3+,0.3,Dy3+,0.1,298,621,0.572,0.356,40.27,,,396,,,,11000000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
43,Na3Bi0.8P2O8Eu0.1Sm0.1,Na3Bi0.8P2O8,Eu3+,0.1,Sm3+,0.1,298,621,0.633,0.364,41.78,,,396,,,,2120000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
44,Na3Bi0.78P2O8Eu0.12Sm0.1,Na3Bi0.78P2O8,Eu3+,0.12,Sm3+,0.1,298,621,0.636,0.362,40.89,,,396,,,,2100000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
45,Na3Bi0.75P2O8Eu0.15Sm0.1,Na3Bi0.75P2O8,Eu3+,0.15,Sm3+,0.1,298,621,0.639,0.359,42.65,,,396,,,,2080000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
46,Na3Bi0.7P2O8Eu0.2Sm0.1,Na3Bi0.7P2O8,Eu3+,0.2,Sm3+,0.1,298,621,0.643,0.355,40.32,,,396,,,,2020000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
47,Na3Bi0.65P2O8Eu0.25Sm0.1,Na3Bi0.65P2O8,Eu3+,0.25,Sm3+,0.1,298,621,0.645,0.353,41.25,,,396,,,,1930000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
48,Na3Bi0.6P2O8Eu0.3Sm0.1,Na3Bi0.6P2O8,Eu3+,0.3,Sm3+,0.1,298,621,0.648,0.351,40.58,,,396,,,,1890000,621,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
49,Na3Bi0.87P2O8Eu0.1Tb0.03,Na3Bi0.87P2O8,Eu2+,0.1,Tb3+,0.03,298,621,0.608,0.373,33.25,,,379,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
50,Na3Bi0.85P2O8Eu0.1Tb0.05,Na3Bi0.85P2O8,Eu2+,0.1,Tb3+,0.05,298,621,0.588,0.387,34.82,,,379,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
51,Na3Bi0.8P2O8Eu0.1Tb0.1,Na3Bi0.8P2O8,Eu2+,0.1,Tb3+,0.1,298,621,0.571,0.402,35.51,,553,379,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
52,Na3Bi0.75P2O8Eu0.1Tb0.15,Na3Bi0.75P2O8,Eu2+,0.1,Tb3+,0.15,298,621,0.574,0.401,38.81,,,379,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
53,Na3Bi0.88P2O8Eu0.1Dy0.02,Na3Bi0.88P2O8,Eu3+,0.1,Dy3+,0.02,298,621,0.575,0.346,38.79,,,392,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
54,Na3Bi0.86P2O8Eu0.1Dy0.04,Na3Bi0.86P2O8,Eu3+,0.1,Dy3+,0.04,298,621,0.547,0.351,37.89,,,392,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
55,Na3Bi0.84P2O8Eu0.1Dy0.06,Na3Bi0.84P2O8,Eu3+,0.1,Dy3+,0.06,298,621,0.524,0.353,37.63,,,392,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
56,Na3Bi0.82P2O8Eu0.1Dy0.08,Na3Bi0.82P2O8,Eu3+,0.1,Dy3+,0.08,298,621,0.513,0.357,38.59,,,392,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
57,Na3Bi0.8P2O8Eu0.1Dy0.1,Na3Bi0.8P2O8,Eu3+,0.1,Dy3+,0.1,298,621,0.498,0.356,40.45,,573,392,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
58,Na3Bi0.78P2O8Eu0.1Dy0.12,Na3Bi0.78P2O8,Eu3+,0.1,Dy3+,0.12,298,621,0.491,0.354,38.21,,,392,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
59,Na3Bi0.75P2O8Eu0.1Dy0.15,Na3Bi0.75P2O8,Eu3+,0.1,Dy3+,0.15,298,621,0.481,0.337,37.64,,,392,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
60,Na3Bi0.7P2O8Eu0.1Dy0.2,Na3Bi0.7P2O8,Eu3+,0.1,Dy3+,0.2,298,621,0.455,0.344,36.14,,,392,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
61,Na3Bi0.78P2O8Eu0.1Sm0.12,Na3Bi0.78P2O8,Eu3+,0.1,Sm3+,0.12,298,621,0.632,0.365,40.68,,,403,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
62,Na3Bi0.75P2O8Eu0.1Sm0.15,Na3Bi0.75P2O8,Eu3+,0.1,Sm3+,0.15,298,621,0.632,0.364,39.46,,,403,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
63,Na3Bi0.7P2O8Eu0.1Sm0.2,Na3Bi0.7P2O8,Eu3+,0.1,Sm3+,0.2,298,621,0.631,0.364,37.29,,,403,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
64,Na3Bi0.65P2O8Eu0.1Sm0.25,Na3Bi0.65P2O8,Eu3+,0.1,Sm3+,0.25,298,621,0.629,0.365,37.43,,,403,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
65,Na3Bi0.6P2O8Eu0.1Sm0.3,Na3Bi0.6P2O8,Eu3+,0.1,Sm3+,0.3,298,621,0.627,0.366,38.52,,,403,,,,,,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
66,Rb3YSi2O7Eu0.02,Rb3YSi2O7,Eu2+,0.02,,,298,622,0.653,0.346,32.6,,540,450,450,,,1400,622,https://doi.org/10.1002/ange.201905787,,,Angewandte Chemie - International Edition,2019
67,Na3Bi0.95P3O12Eu0.05,Na3Bi0.95P3O12,Eu3+,0.05,,,298,623,0.626,0.341,34.15,,,396,396,,,2397000,623,https://doi.org/10.1016/S1002-0721(16)60106-0,,,Journal of Rare Earths,2016
68,Na3Bi0.9P3O12Eu0.1,Na3Bi0.9P3O12,Eu3+,0.1,,,298,623,0.636,0.343,35.62,,,396,396,468,,2443000,623,https://doi.org/10.1016/S1002-0721(16)60106-0,,,Journal of Rare Earths,2016
69,Na3Bi0.875P3O12Eu0.125,Na3Bi0.875P3O12,Eu3+,0.125,,,298,623,0.639,0.344,37.24,,,396,396,,,2463000,623,https://doi.org/10.1016/S1002-0721(16)60106-0,,,Journal of Rare Earths,2016
70,Na3Bi0.85P3O12Eu0.15,Na3Bi0.85P3O12,Eu3+,0.15,,,298,623,0.643,0.345,38.75,,,396,396,,,2476000,623,https://doi.org/10.1016/S1002-0721(16)60106-0,,,Journal of Rare Earths,2016
71,Na3Bi0.8P3O12Eu0.2,Na3Bi0.8P3O12,Eu3+,0.2,,,298,623,0.647,0.345,40.67,,,396,396,468,,2500000,623,https://doi.org/10.1016/S1002-0721(16)60106-0,,,Journal of Rare Earths,2016
72,Na3Bi0.75P3O12Eu0.25,Na3Bi0.75P3O12,Eu3+,0.25,,,298,623,0.645,0.346,39.25,,,396,396,,,2552000,623,https://doi.org/10.1016/S1002-0721(16)60106-0,,,Journal of Rare Earths,2016
73,Na3Bi0.7P3O12Eu0.3,Na3Bi0.7P3O12,Eu3+,0.3,,,298,623,0.626,0.341,41.57,,,396,396,,,2572000,623,https://doi.org/10.1016/S1002-0721(16)60106-0,,,Journal of Rare Earths,2016
74,CaYAlO4Eu0.01,CaYAlO4,Eu3+,0.01,,,298,623,,,13,,,272,272,,,1130000,623,https://doi.org/10.1039/C2DT12222G,mp-1227044,,Dalton Transactions,2012
75,CaYAlO4Eu0.03,CaYAlO4,Eu3+,0.03,,,298,623,,,17,,,272,272,,,1210000,623,https://doi.org/10.1039/C2DT12222G,mp-1227044,,Dalton Transactions,2012
76,CaYAlO4Eu0.05,CaYAlO4,Eu3+,0.05,,,298,623,,,18,,,272,272,,,1280000,623,https://doi.org/10.1039/C2DT12222G,mp-1227044,,Dalton Transactions,2012
77,CaYAlO4Eu0.07,CaYAlO4,Eu3+,0.07,,,298,623,,,23,,,272,272,,,1340000,623,https://doi.org/10.1039/C2DT12222G,mp-1227044,,Dalton Transactions,2012
78,CaYAlO4Eu0.08,CaYAlO4,Eu3+,0.08,,,298,623,0.5342,0.3468,21,,,272,272,,,1350000,623,https://doi.org/10.1039/C2DT12222G,mp-1227044,,Dalton Transactions,2012
79,CaYAlO4Eu0.1,CaYAlO4,Eu3+,0.1,,,298,623,,,18,,,272,272,,,1260000,623,https://doi.org/10.1039/C2DT12222G,mp-1227044,,Dalton Transactions,2012
80,CaYAlO4Eu0.11,CaYAlO4,Eu3+,0.11,,,298,623,,,17,,,272,272,,,1100000,623,https://doi.org/10.1039/C2DT12222G,mp-1227044,,Dalton Transactions,2012
81,CaYAlO4Eu0.12,CaYAlO4,Eu3+,0.12,,,298,623,,,15,,,272,272,,,1050000,623,https://doi.org/10.1039/C2DT12222G,mp-1227044,,Dalton Transactions,2012
82,Na3Bi0.9P2O8Eu0.1,Na3Bi0.9P2O8,Eu3+,0.1,,,298,623,0.633,0.357,45.64,,,396,396,,,,623,https://doi.org/10.1016/j.jlumin.2016.12.012,mp-561083, icsd-71362,Journal of Luminescence,2017
83,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu2+,0.006,Er3+,0.014,298,624,0.6227,0.3525,,,,270,,,,,,https://doi.org/10.1002/adfm.202102479,mp-1211987,,Advanced Functional Materials,2021
84,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu2+,0.006,Er3+,0.014,298,624,0.6243,0.351,,,,280,,,,,,https://doi.org/10.1002/adfm.202102479,mp-1211987,,Advanced Functional Materials,2021
85,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu2+,0.006,Er3+,0.014,298,624,0.6293,0.348,,,,290,,,,,,https://doi.org/10.1002/adfm.202102479,mp-1211987,,Advanced Functional Materials,2021
86,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu2+,0.006,Er3+,0.014,298,624,0.6277,0.3445,,,,300,,,,,,https://doi.org/10.1002/adfm.202102479,mp-1211987,,Advanced Functional Materials,2021
87,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu2+,0.006,Er3+,0.014,298,624,0.6164,0.3401,,,,310,,,,,,https://doi.org/10.1002/adfm.202102479,mp-1211987,,Advanced Functional Materials,2021
88,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu2+,0.006,Er3+,0.014,298,624,0.5846,0.3373,,,,320,,,,,,https://doi.org/10.1002/adfm.202102479,mp-1211987,,Advanced Functional Materials,2021
89,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu2+,0.006,Er3+,0.014,298,624,0.4385,0.2661,,,,330,,,,,,https://doi.org/10.1002/adfm.202102479,mp-1211987,,Advanced Functional Materials,2021
90,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu2+,0.006,Er3+,0.014,298,624,0.3076,0.2256,,,,340,,,,,,https://doi.org/10.1002/adfm.202102479,mp-1211987,,Advanced Functional Materials,2021
91,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu2+,0.006,Er3+,0.014,298,624,0.3076,0.2694,,,,350,,,,,,https://doi.org/10.1002/adfm.202102479,mp-1211987,,Advanced Functional Materials,2021
92,Sr1.96Si5N8Eu0.02,Sr1.96Si5N8,Eu2+,0.02,,,298,625,0.621,0.368,,,,450,450,,,,625,https://doi.org/10.1063/1.2196064,mp-9710, icsd-401500,Applied Physics Letters,2006
93,Ca8.55GdP7O28Eu0.01Mn0.04,Ca8.55GdP7O28,Eu2+,0.01,Mn2+,0.04,298,625,0.321,0.308,,,445,355,,,,,490,https://doi.org/10.1039/C0JM01860K,,,Journal of Materials Chemistry,2010
94,Ca8.505GdP7O28Eu0.01Mn0.045,Ca8.505GdP7O28,Eu2+,0.01,Mn2+,0.045,298,625,0.333,0.299,,,,355,,,,,490,https://doi.org/10.1039/C0JM01860K,,,Journal of Materials Chemistry,2010
95,Ca8.46GdP7O28Eu0.01Mn0.05,Ca8.46GdP7O28,Eu2+,0.01,Mn2+,0.05,298,625,0.35,0.295,,,,355,,,,471,490,https://doi.org/10.1039/C0JM01860K,,,Journal of Materials Chemistry,2010
96,Ca8.28GdP7O28Eu0.01Mn0.07,Ca8.28GdP7O28,Eu2+,0.01,Mn2+,0.07,298,625,0.412,0.287,,,,355,,,,359,490,https://doi.org/10.1039/C0JM01860K,,,Journal of Materials Chemistry,2010
97,Ca8.01GdP7O28Eu0.01Mn0.1,Ca8.01GdP7O28,Eu2+,0.01,Mn2+,0.1,298,625,0.45,0.265,,,,355,,,,232,490,https://doi.org/10.1039/C0JM01860K,,,Journal of Materials Chemistry,2010
98,Ba2Zn0.99S3Mn0.01,Ba2Zn0.99S3,Mn2+,0.01,,,298,625,0.654,0.321,,,,358,358,,,,625,https://doi.org/10.1088/0022-3727/39/13/011,"mp-5587,mp-1190623", icsd-653999 icsd-25554 icsd-262215,Journal of Physics D: Applied Physics,2006
99,Y2O2SEu0.05,Y2O2S,Eu3+,0.05,,,298,626,0.622,0.351,,,,254,254,310,,,626,https://doi.org/10.1016/j.matlet.2007.06.016,mp-12894, icsd-154582,Materials Letters,2008
100,Lu2O2STb0.02Eu0.03,Lu2O2S,Tb3+,0.02,Eu3+,0.03,298,626,0.3766,0.397,36.5,,,280,,,,6236000,,https://doi.org/10.1039/C6CE01441K,mp-12673, icsd-109336,CrystEngComm,2016
101,Lu2O2STb0.02Eu0.04,Lu2O2S,Tb3+,0.02,Eu3+,0.04,298,626,0.3659,0.379,32.7,,,280,,,,5463000,,https://doi.org/10.1039/C6CE01441K,mp-12673, icsd-109336,CrystEngComm,2016
102,Lu2O2STb0.02Eu0.05,Lu2O2S,Tb3+,0.02,Eu3+,0.05,298,626,0.3608,0.349,26.3,,,280,,,,4987000,,https://doi.org/10.1039/C6CE01441K,mp-12673, icsd-109336,CrystEngComm,2016
103,Lu2O2STb0.02Eu0.06,Lu2O2S,Tb3+,0.02,Eu3+,0.06,298,626,0.4203,0.372,20.8,,,280,,,,4587000,,https://doi.org/10.1039/C6CE01441K,mp-12673, icsd-109336,CrystEngComm,2016
104,Lu2O2SEu0.03,Lu2O2S,Eu3+,0.03,,,298,626,0.5512,0.342,21.3,,,280,,,,,,https://doi.org/10.1039/C6CE01441K,mp-12673, icsd-109336,CrystEngComm,2016
105,Y1.99O2SEu0.01,Y1.99O2S,Eu3+,0.01,,,298,627,0.622,0.351,,,,394,,,,,,https://doi.org/10.1016/j.matlet.2012.06.051,mp-12894, icsd-154582,Materials Letters,2012
106,Y1.95O2SEu0.05,Y1.95O2S,Eu3+,0.05,,,298,627,0.622,0.351,4.2,,,395,395,,,,627,https://doi.org/10.1149/1.3501964,mp-12894, icsd-154582,Journal of The Electrochemical Society,2010
107,Y2O2SEu0.05,Y2O2S,Eu3+,0.05,,,298,627,,,57.2,,,275,395,,,,627,https://doi.org/10.1016/j.jallcom.2015.09.182,mp-12894, icsd-154582,Journal of Alloys and Compounds,2016
