Tag,Inorganic phosphor,Host,1st dopant,1st doping concentration,2nd dopant,2nd doping concentration ,Temp. (K),Emission max. (nm),CIE x coordinate,CIE y coordinate,Int. quantum efficiency (%),Ext. quantum efficiency (%),Thermal quenching temp. (K),Excitation source (nm),1st Excitation max. (nm),2nd Excitation max. (nm),3rd Excitation max. (nm),Decay time (ns),Monitoring energy (nm),Reference,MP-ID,ICSD-ID,Journal,Year
11,YVO4Bi0.01,YVO4,Bi3+,0.01,,,298,566,0.413,0.481,74.8,,,330,,,,,,https://doi.org/10.1021/acs.chemmater.6b00277,mp-19133, icsd-15604 icsd-107638 icsd-246709 icsd-26894 icsd-78074 icsd-2504 icsd-174549 icsd-246708 icsd-36060,Chemistry of Materials,2016
12,RbCaGdP2O8Ce0.1Mn0.35,RbCaGdP2O8,Ce3+,0.1,Mn2+,0.35,298,566,0.3766,0.4209,21.49,,,334,334,285,,15.41,408,https://doi.org/10.1016/j.optmat.2016.02.026,,,Optical Materials,2016
13,Zn3V2O8,Zn3V2O8,,,,,298,568,0.432,0.478,52,31,,350,,,,,568,https://doi.org/10.1021/jp910884c,mp-17545, icsd-23776,Journal of Physical Chemistry C,2010
14,Y5.95WO12Dy0.05,Y5.95WO12,Dy3+,0.05,,,298,568,0.575,0.401,,,361,345,345,355,390,121000,568,https://doi.org/10.1111/jace.12937,mp-19005, icsd-92037 icsd-100196,Journal of the American Ceramic Society,2014
15,CaAlSiN3Ce1,CaAlSiN3,Ce3+,1,,,298,570,,,78.9,,,450,,,,58,,https://doi.org/10.1016/j.actamat.2021.116813,,,Acta Materialia,2021
16,CaAlSiN3Ce1,CaAlSiN3,Ce3+,1,,,323,570,,,,,,450,,,,59,,https://doi.org/10.1016/j.actamat.2021.116813,,,Acta Materialia,2021
17,CaAlSiN3Ce1,CaAlSiN3,Ce3+,1,,,373,570,,,,,,450,,,,56.3,,https://doi.org/10.1016/j.actamat.2021.116813,,,Acta Materialia,2021
18,CaAlSiN3Ce1,CaAlSiN3,Ce3+,1,,,423,570,,,,,,450,,,,54.7,,https://doi.org/10.1016/j.actamat.2021.116813,,,Acta Materialia,2021
19,La0.96MgAl11O19Tm0.03Dy0.01,La0.96MgAl11O19,Tm3+,0.03,Dy3+,0.01,298,570,0.2354,0.2158,,,,348,,,,,570,https://doi.org/10.1111/jace.13346,mp-1223152,,Journal of the American Ceramic Society,2014
20,La0.94MgAl11O19Tm0.03Dy0.03,La0.94MgAl11O19,Tm3+,0.03,Dy3+,0.03,298,570,0.2686,0.2765,,,,348,,,,,570,https://doi.org/10.1111/jace.13346,mp-1223152,,Journal of the American Ceramic Society,2014
21,La0.92MgAl11O19Tm0.03Dy0.05,La0.92MgAl11O19,Tm3+,0.03,Dy3+,0.05,298,570,0.2821,0.301,,,,348,,,,,570,https://doi.org/10.1111/jace.13346,mp-1223152,,Journal of the American Ceramic Society,2014
22,La0.87MgAl11O19Tm0.03Dy0.1,La0.87MgAl11O19,Tm3+,0.03,Dy3+,0.1,298,570,0.2971,0.3281,,,,348,,,,,570,https://doi.org/10.1111/jace.13346,mp-1223152,,Journal of the American Ceramic Society,2014
23,La0.82MgAl11O19Tm0.03Dy0.15,La0.82MgAl11O19,Tm3+,0.03,Dy3+,0.15,298,570,0.2978,0.3311,,,,348,,,,,570,https://doi.org/10.1111/jace.13346,mp-1223152,,Journal of the American Ceramic Society,2014
24,La0.9MgAl11O19Dy0.1,La0.9MgAl11O19,Dy3+,0.1,,,298,570,0.3324,0.3665,,,,348,,,,,570,https://doi.org/10.1111/jace.13346,mp-1223152,,Journal of the American Ceramic Society,2014
25,Ca5P3O12FEu0.025Mn0.04,Ca5P3O12F,Eu2+,0.025,Mn2+,0.04,298,570,0.295,0.33,,,,335,,,,48,449,https://doi.org/10.1002/ejic.201402187,"mp-6473,mp-1227110", icsd-240629 icsd-94082 icsd-24236 icsd-38118 icsd-240658 icsd-163790 icsd-236762 icsd-94081 icsd-94083 icsd-30261 icsd-56314 icsd-84227 icsd-180314 icsd-193552 icsd-262707 icsd-52385 icsd-240657 icsd-56313,European Journal of Inorganic Chemistry,2014
26,Ca5P3O12FEu0.025Mn0.08,Ca5P3O12F,Eu2+,0.025,Mn2+,0.08,298,570,0.34,0.435,,32.7,,335,335,,,28,449,https://doi.org/10.1002/ejic.201402187,"mp-6473,mp-1227110", icsd-240629 icsd-94082 icsd-24236 icsd-38118 icsd-240658 icsd-163790 icsd-236762 icsd-94081 icsd-94083 icsd-30261 icsd-56314 icsd-84227 icsd-180314 icsd-193552 icsd-262707 icsd-52385 icsd-240657 icsd-56313,European Journal of Inorganic Chemistry,2014
27,Ca5P3O12FEu0.025Mn0.12,Ca5P3O12F,Eu2+,0.025,Mn2+,0.12,298,570,0.37,0.465,,,,335,,,,26,449,https://doi.org/10.1002/ejic.201402187,"mp-6473,mp-1227110", icsd-240629 icsd-94082 icsd-24236 icsd-38118 icsd-240658 icsd-163790 icsd-236762 icsd-94081 icsd-94083 icsd-30261 icsd-56314 icsd-84227 icsd-180314 icsd-193552 icsd-262707 icsd-52385 icsd-240657 icsd-56313,European Journal of Inorganic Chemistry,2014
28,CaWO4Dy0.01,CaWO4,Dy3+,0.01,,,298,572,0.233,0.22,,,,258,,,,,572,https://doi.org/10.1063/1.4913297,"mp-19426,mp-1190383", icsd-60550 icsd-193491 icsd-60548 icsd-60551 icsd-15869 icsd-155423 icsd-193047 icsd-15586 icsd-60549 icsd-18135 icsd-77335 icsd-157428 icsd-291535 icsd-60547 icsd-155791 icsd-238259 icsd-238258,Journal of Applied Physics,2015
29,CaWO4Dy0.03,CaWO4,Dy3+,0.03,,,298,572,0.274,0.27,,,,258,,,,,572,https://doi.org/10.1063/1.4913297,"mp-19426,mp-1190383", icsd-60550 icsd-193491 icsd-60548 icsd-60551 icsd-15869 icsd-155423 icsd-193047 icsd-15586 icsd-60549 icsd-18135 icsd-77335 icsd-157428 icsd-291535 icsd-60547 icsd-155791 icsd-238259 icsd-238258,Journal of Applied Physics,2015
30,CaWO4Dy0.05,CaWO4,Dy3+,0.05,,,298,572,0.301,0.315,,,,258,,,,,572,https://doi.org/10.1063/1.4913297,"mp-19426,mp-1190383", icsd-60550 icsd-193491 icsd-60548 icsd-60551 icsd-15869 icsd-155423 icsd-193047 icsd-15586 icsd-60549 icsd-18135 icsd-77335 icsd-157428 icsd-291535 icsd-60547 icsd-155791 icsd-238259 icsd-238258,Journal of Applied Physics,2015
31,CaWO4Dy0.07,CaWO4,Dy3+,0.07,,,298,572,0.309,0.331,,,,258,353,385,450,,572,https://doi.org/10.1063/1.4913297,"mp-19426,mp-1190383", icsd-60550 icsd-193491 icsd-60548 icsd-60551 icsd-15869 icsd-155423 icsd-193047 icsd-15586 icsd-60549 icsd-18135 icsd-77335 icsd-157428 icsd-291535 icsd-60547 icsd-155791 icsd-238259 icsd-238258,Journal of Applied Physics,2015
32,CaWO4Dy0.09,CaWO4,Dy3+,0.09,,,298,572,0.314,0.34,,,,258,,,,,572,https://doi.org/10.1063/1.4913297,"mp-19426,mp-1190383", icsd-60550 icsd-193491 icsd-60548 icsd-60551 icsd-15869 icsd-155423 icsd-193047 icsd-15586 icsd-60549 icsd-18135 icsd-77335 icsd-157428 icsd-291535 icsd-60547 icsd-155791 icsd-238259 icsd-238258,Journal of Applied Physics,2015
33,CaWO4Dy0.11,CaWO4,Dy3+,0.11,,,298,572,0.312,0.338,,,,258,,,,,572,https://doi.org/10.1063/1.4913297,"mp-19426,mp-1190383", icsd-60550 icsd-193491 icsd-60548 icsd-60551 icsd-15869 icsd-155423 icsd-193047 icsd-15586 icsd-60549 icsd-18135 icsd-77335 icsd-157428 icsd-291535 icsd-60547 icsd-155791 icsd-238259 icsd-238258,Journal of Applied Physics,2015
34,CaWO4Dy0.01,CaWO4,Dy3+,0.01,,,298,572,0.363,0.407,,,,353,,,,153000,572,https://doi.org/10.1063/1.4913297,"mp-19426,mp-1190383", icsd-60550 icsd-193491 icsd-60548 icsd-60551 icsd-15869 icsd-155423 icsd-193047 icsd-15586 icsd-60549 icsd-18135 icsd-77335 icsd-157428 icsd-291535 icsd-60547 icsd-155791 icsd-238259 icsd-238258,Journal of Applied Physics,2015
35,CaWO4Dy0.03,CaWO4,Dy3+,0.03,,,298,572,0.371,0.419,,,,353,,,,145000,572,https://doi.org/10.1063/1.4913297,"mp-19426,mp-1190383", icsd-60550 icsd-193491 icsd-60548 icsd-60551 icsd-15869 icsd-155423 icsd-193047 icsd-15586 icsd-60549 icsd-18135 icsd-77335 icsd-157428 icsd-291535 icsd-60547 icsd-155791 icsd-238259 icsd-238258,Journal of Applied Physics,2015
36,CaWO4Dy0.05,CaWO4,Dy3+,0.05,,,298,572,0.372,0.415,,,,353,,,,140000,572,https://doi.org/10.1063/1.4913297,"mp-19426,mp-1190383", icsd-60550 icsd-193491 icsd-60548 icsd-60551 icsd-15869 icsd-155423 icsd-193047 icsd-15586 icsd-60549 icsd-18135 icsd-77335 icsd-157428 icsd-291535 icsd-60547 icsd-155791 icsd-238259 icsd-238258,Journal of Applied Physics,2015
37,CaWO4Dy0.07,CaWO4,Dy3+,0.07,,,298,572,0.368,0.408,,,,353,353,385,450,98000,572,https://doi.org/10.1063/1.4913297,"mp-19426,mp-1190383", icsd-60550 icsd-193491 icsd-60548 icsd-60551 icsd-15869 icsd-155423 icsd-193047 icsd-15586 icsd-60549 icsd-18135 icsd-77335 icsd-157428 icsd-291535 icsd-60547 icsd-155791 icsd-238259 icsd-238258,Journal of Applied Physics,2015
38,CaWO4Dy0.09,CaWO4,Dy3+,0.09,,,298,572,0.362,0.4,,,,353,,,,92000,572,https://doi.org/10.1063/1.4913297,"mp-19426,mp-1190383", icsd-60550 icsd-193491 icsd-60548 icsd-60551 icsd-15869 icsd-155423 icsd-193047 icsd-15586 icsd-60549 icsd-18135 icsd-77335 icsd-157428 icsd-291535 icsd-60547 icsd-155791 icsd-238259 icsd-238258,Journal of Applied Physics,2015
39,CaWO4Dy0.11,CaWO4,Dy3+,0.11,,,298,572,0.358,0.396,,,,353,,,,72000,572,https://doi.org/10.1063/1.4913297,"mp-19426,mp-1190383", icsd-60550 icsd-193491 icsd-60548 icsd-60551 icsd-15869 icsd-155423 icsd-193047 icsd-15586 icsd-60549 icsd-18135 icsd-77335 icsd-157428 icsd-291535 icsd-60547 icsd-155791 icsd-238259 icsd-238258,Journal of Applied Physics,2015
40,K2YWPO8Tm0.01,K2YWPO8,Tm3+,0.01,,,298,572,0.156,0.036,,,,360,,,,37930,451,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
41,K2YWPO8Tm0.01Dy0.01,K2YWPO8,Tm3+,0.01,Dy3+,0.01,298,572,0.385,0.415,,,,350,,,,35810,451,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
42,K2YWPO8Tm0.01Dy0.05,K2YWPO8,Tm3+,0.01,Dy3+,0.05,298,572,0.35,0.381,,,,350,,,,25160,451,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
43,K2YWPO8Tm0.01Dy0.1,K2YWPO8,Tm3+,0.01,Dy3+,0.1,298,572,0.358,0.387,,,,350,,,,17850,451,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
44,K2YWPO8Tm0.01Dy0.2,K2YWPO8,Tm3+,0.01,Dy3+,0.2,298,572,0.336,0.355,,,,350,,,,8870,451,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
45,K2YWPO8Tm0.01Dy0.22,K2YWPO8,Tm3+,0.01,Dy3+,0.22,298,572,0.331,0.349,,,,350,350,365,390,,572,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
46,K2YWPO8Tm0.01Dy0.24,K2YWPO8,Tm3+,0.01,Dy3+,0.24,298,572,0.335,0.354,,,,350,350,365,390,,572,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
47,K2YWPO8Tm0.01Dy0.26,K2YWPO8,Tm3+,0.01,Dy3+,0.26,298,572,0.327,0.344,,,,350,350,365,390,,572,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
48,K2YWPO8Tm0.01Dy0.3,K2YWPO8,Tm3+,0.01,Dy3+,0.3,298,572,0.294,0.292,,,,350,350,365,390,,572,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
49,K2YWPO8Dy0.05,K2YWPO8,Dy3+,0.05,,,298,572,0.36,0.392,16.7,,523,350,350,365,390,587780,572,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
50,K2YWPO8Tm0.001Dy0.05,K2YWPO8,Tm3+,0.001,Dy3+,0.05,298,572,0.359,0.389,,,,350,350,365,390,583510,572,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
51,K2YWPO8Tm0.005Dy0.05,K2YWPO8,Tm3+,0.005,Dy3+,0.05,298,572,0.361,0.391,,,,350,350,365,390,580130,572,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
52,K2YWPO8Tm0.01Dy0.05,K2YWPO8,Tm3+,0.01,Dy3+,0.05,298,572,0.356,0.385,,,,350,350,365,390,571060,572,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
53,K2YWPO8Tm0.03Dy0.05,K2YWPO8,Tm3+,0.03,Dy3+,0.05,298,572,0.352,0.378,,,,350,350,365,390,559390,572,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
54,K2YWPO8Tm0.05Dy0.05,K2YWPO8,Tm3+,0.05,Dy3+,0.05,298,572,0.346,0.369,,,,350,350,365,390,545520,572,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
55,K2YWPO8Tm0.07Dy0.05,K2YWPO8,Tm3+,0.07,Dy3+,0.05,298,572,0.347,0.37,,,,350,350,365,390,528530,572,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
56,K2YWPO8Tm0.09Dy0.05,K2YWPO8,Tm3+,0.09,Dy3+,0.05,298,572,0.331,0.349,,,,350,350,365,390,,572,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
57,K2YWPO8Tm0.11Dy0.05,K2YWPO8,Tm3+,0.11,Dy3+,0.05,298,572,0.322,0.334,,,,350,350,365,390,,572,https://doi.org/10.1016/j.jlumin.2016.03.020,,,Journal of Luminescence,2016
58,Sr5B3O9FEu0.007,Sr5B3O9F,Eu3+,0.007,,,298,572,0.5431,0.39,,,,335,335,527,459,,572,https://doi.org/10.1016/j.ceramint.2019.04.151,mp-560818, icsd-41318,Ceramics International,2019
59,Sr5B3O9FEu0.01,Sr5B3O9F,Eu3+,0.01,,,298,572,0.4517,0.3023,,,,335,335,527,459,,572,https://doi.org/10.1016/j.ceramint.2019.04.151,mp-560818, icsd-41318,Ceramics International,2019
60,Sr5B3O9FEu0.015,Sr5B3O9F,Eu3+,0.015,,,298,572,0.5605,0.4109,,,,335,335,527,459,,572,https://doi.org/10.1016/j.ceramint.2019.04.151,mp-560818, icsd-41318,Ceramics International,2019
61,Sr5B3O9FEu0.02,Sr5B3O9F,Eu3+,0.02,,,298,572,0.5648,0.4034,,,,335,335,527,459,,572,https://doi.org/10.1016/j.ceramint.2019.04.151,mp-560818, icsd-41318,Ceramics International,2019
62,Sr5B3O9FEu0.03,Sr5B3O9F,Eu3+,0.03,,,298,572,0.4977,0.3641,,,,335,335,527,459,,572,https://doi.org/10.1016/j.ceramint.2019.04.151,mp-560818, icsd-41318,Ceramics International,2019
63,Sr5B3O9FEu0.07,Sr5B3O9F,Eu3+,0.07,,,298,572,0.5628,0.3976,,,,335,335,527,459,,572,https://doi.org/10.1016/j.ceramint.2019.04.151,mp-560818, icsd-41318,Ceramics International,2019
64,Sr5B3O9FEu0.12,Sr5B3O9F,Eu3+,0.12,,,298,572,0.6063,0.3853,,,,335,335,527,459,,572,https://doi.org/10.1016/j.ceramint.2019.04.151,mp-560818, icsd-41318,Ceramics International,2019
65,SrMoO4Dy0.03,SrMoO4,Dy3+,0.03,,,298,573,0.3721,0.4289,,,,268,268,,,870000,573,https://doi.org/10.1016/j.materresbull.2010.12.016,mp-18834, icsd-193794 icsd-250491 icsd-23700 icsd-28025 icsd-194080 icsd-173125 icsd-173120 icsd-245803 icsd-245802 icsd-173122 icsd-239418 icsd-248458 icsd-99089 icsd-194081,Materials Research Bulletin,2011
66,K1.02Sr3.98B3O9Dy0.005,K1.02Sr3.98B3O9,Dy3+,0.005,,,298,573,0.29,0.351,,,,389,,,,651500,480,https://doi.org/10.1016/j.jlumin.2016.01.010,mp-554346, icsd-423814 icsd-425548 icsd-171423,Journal of Luminescence,2016
67,NaLaMo2O8Dy0.05,NaLaMo2O8,Dy3+,0.05,,,298,573,0.36,0.383,,,,362,387,350,,135780,573,https://doi.org/10.1016/j.jallcom.2015.08.256,mp-1220757,,Journal of Alloys and Compounds,2015
68,NaLaMo2O8Dy0.05Eu0.01,NaLaMo2O8,Dy3+,0.05,Eu3+,0.01,298,573,0.384,0.361,,,,362,387,350,,128460,573,https://doi.org/10.1016/j.jallcom.2015.08.256,mp-1220757,,Journal of Alloys and Compounds,2015
69,La1.88LiSbO6Dy0.12,La1.88LiSbO6,Dy3+,0.12,,,298,573,0.389,0.437,,,,351,351,,,,573,https://doi.org/10.1016/j.jallcom.2019.02.132,mp-6674, icsd-72202 icsd-69192,Journal of Alloys and Compounds,2019
70,Sr0.94MgP2O7Ce0.04Dy0.02,Sr0.94MgP2O7,Ce3+,0.04,Dy3+,0.02,298,573,0.346,0.367,,,,300,,,,,,https://doi.org/10.1016/j.jallcom.2018.12.277,mp-18469, icsd-280782,Journal of Alloys and Compounds,2019
71,Sr0.93MgP2O7Ce0.04Dy0.03,Sr0.93MgP2O7,Ce3+,0.04,Dy3+,0.03,298,573,0.354,0.368,,,,300,,,,,,https://doi.org/10.1016/j.jallcom.2018.12.277,mp-18469, icsd-280782,Journal of Alloys and Compounds,2019
72,Sr0.92MgP2O7Ce0.04Dy0.04,Sr0.92MgP2O7,Ce3+,0.04,Dy3+,0.04,298,573,0.361,0.376,,,600,300,,,,,,https://doi.org/10.1016/j.jallcom.2018.12.277,mp-18469, icsd-280782,Journal of Alloys and Compounds,2019
73,Sr0.91MgP2O7Ce0.04Dy0.05,Sr0.91MgP2O7,Ce3+,0.04,Dy3+,0.05,298,573,0.37,0.383,,,,300,,,,,,https://doi.org/10.1016/j.jallcom.2018.12.277,mp-18469, icsd-280782,Journal of Alloys and Compounds,2019
74,Sr3B2O6Ce0.01Eu0.007,Sr3B2O6,Ce3+,0.01,Eu2+,0.007,298,574,0.49,0.44,,,,351,351,,,,574,https://doi.org/10.1063/1.2772195,mp-16432, icsd-93395,Applied Physics Letters,2007
75,Sr3B2O6Eu0.01,Sr3B2O6,Eu2+,0.01,,,298,574,0.53,0.46,,,,377,377,,,,574,https://doi.org/10.1063/1.2772195,mp-16432, icsd-93395,Applied Physics Letters,2007
76,KSr3.98B3O9Dy0.005Tm0.005,KSr3.98B3O9,Dy3+,0.005,Tm3+,0.005,298,574,0.279,0.256,,,,356,,,,18020,453,https://doi.org/10.1039/C2JM15506K,mp-554346, icsd-423814 icsd-425548 icsd-171423,Journal of Materials Chemistry,2012
77,KSr3.94B3O9Dy0.01Tm0.005,KSr3.94B3O9,Dy3+,0.01,Tm3+,0.005,298,574,0.306,0.311,,,,356,,,,12090,453,https://doi.org/10.1039/C2JM15506K,mp-554346, icsd-423814 icsd-425548 icsd-171423,Journal of Materials Chemistry,2012
78,KSr3.92B3O9Dy0.015Tm0.005,KSr3.92B3O9,Dy3+,0.015,Tm3+,0.005,298,574,0.327,0.344,,,,356,,,,7860,453,https://doi.org/10.1039/C2JM15506K,mp-554346, icsd-423814 icsd-425548 icsd-171423,Journal of Materials Chemistry,2012
79,KSr3.96B3O9Dy0.01,KSr3.96B3O9,Dy3+,0.01,,,298,574,0.364,0.401,,,,356,,,,,574,https://doi.org/10.1039/C2JM15506K,mp-554346, icsd-423814 icsd-425548 icsd-171423,Journal of Materials Chemistry,2012
80,YP0.5V0.5O4Dy0.01,YP0.5V0.5O4,Dy3+,0.01,,,298,574,0.34,0.39,,,,270,,,,4000,430,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
81,YP0.6V0.4O4Dy0.01,YP0.6V0.4O4,Dy3+,0.01,,,298,574,0.3,0.34,,,,270,,,,5000,430,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
82,YP0.65V0.35O4Dy0.01,YP0.65V0.35O4,Dy3+,0.01,,,298,574,0.32,0.36,,,,270,,,,6000,430,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
83,YP0.7V0.3O4Dy0.01,YP0.7V0.3O4,Dy3+,0.01,,,298,574,0.3,0.34,,,,270,,,,7500,430,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
84,YP0.75V0.25O4Dy0.01,YP0.75V0.25O4,Dy3+,0.01,,,298,574,0.28,0.32,,,,270,,,,21000,430,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
85,YP0.8V0.2O4Dy0.01,YP0.8V0.2O4,Dy3+,0.01,,,298,574,0.26,0.27,,,,270,,,,24000,430,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
86,YP0.85V0.15O4Dy0.01,YP0.85V0.15O4,Dy3+,0.01,,,298,574,0.22,0.23,,,,270,,,,30000,430,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
87,YP0.9V0.1O4Dy0.01,YP0.9V0.1O4,Dy3+,0.01,,,298,574,0.23,0.25,,,,270,,,,22500,430,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
88,YP0.8V0.2O4Dy0.001,YP0.8V0.2O4,Dy3+,0.001,,,298,574,0.17,0.13,,,,270,,,,163000,574,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
89,YP0.8V0.2O4Dy0.0025,YP0.8V0.2O4,Dy3+,0.0025,,,298,574,0.18,0.16,,,,270,,,,265000,574,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
90,YP0.8V0.2O4Dy0.005,YP0.8V0.2O4,Dy3+,0.005,,,298,574,0.19,0.2,,,,270,,,,236000,574,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
91,YP0.8V0.2O4Dy0.0075,YP0.8V0.2O4,Dy3+,0.0075,,,298,574,0.24,0.26,,,,270,,,,216000,574,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
92,YP0.8V0.2O4Dy0.015,YP0.8V0.2O4,Dy3+,0.015,,,298,574,0.27,0.3,,,,270,,,,204000,574,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
93,YP0.8V0.2O4Dy0.02,YP0.8V0.2O4,Dy3+,0.02,,,298,574,0.28,0.32,,,,270,,,,184000,574,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
94,YP0.8V0.2O4Dy0.03,YP0.8V0.2O4,Dy3+,0.03,,,298,574,0.33,0.38,,,,270,,,,177000,574,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
95,YP0.8V0.2O4Dy0.01Sm0.005,YP0.8V0.2O4,Dy3+,0.01,Sm3+,0.005,298,574,0.3,0.31,,,,270,,,,170000,,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
96,YP0.8V0.2O4Dy0.01Sm0.0075,YP0.8V0.2O4,Dy3+,0.01,Sm3+,0.0075,298,574,0.33,0.32,25,,,270,,,,,,https://doi.org/10.1039/C3TC31586J,"mvc-15449,mvc-16805,mvc-4606",,Journal of Materials Chemistry C,2014
