Tag,Inorganic phosphor,Host,1st dopant,1st doping concentration,2nd dopant,2nd doping concentration ,Temp. (K),Emission max. (nm),CIE x coordinate,CIE y coordinate,Int. quantum efficiency (%),Ext. quantum efficiency (%),Thermal quenching temp. (K),Excitation source (nm),1st Excitation max. (nm),2nd Excitation max. (nm),3rd Excitation max. (nm),Decay time (ns),Monitoring energy (nm),Reference,MP-ID,ICSD-ID,Journal,Year
15,Ca0.99Al2Si2O8Eu0.01,Ca0.99Al2Si2O8,Eu2+,0.01,,,298,425,0.17,0.11,,,,354,354,,,730,425,https://doi.org/10.1021/cm050638f,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,Chemistry of Materials,2005
16,Ca0.94Al2Si2O8Eu0.01Mn0.05,Ca0.94Al2Si2O8,Eu2+,0.01,Mn2+,0.05,298,425,0.18,0.12,,,,354,354,,,,425,https://doi.org/10.1021/cm050638f,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,Chemistry of Materials,2005
17,Ca0.89Al2Si2O8Eu0.01Mn0.1,Ca0.89Al2Si2O8,Eu2+,0.01,Mn2+,0.1,298,425,0.2,0.14,,,,354,354,,,660,425,https://doi.org/10.1021/cm050638f,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,Chemistry of Materials,2005
18,Ca0.84Al2Si2O8Eu0.01Mn0.15,Ca0.84Al2Si2O8,Eu2+,0.01,Mn2+,0.15,298,425,0.24,0.21,,,,354,354,,,570,425,https://doi.org/10.1021/cm050638f,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,Chemistry of Materials,2005
19,Ca0.79Al2Si2O8Eu0.01Mn0.2,Ca0.79Al2Si2O8,Eu2+,0.01,Mn2+,0.2,298,425,0.3,0.29,,,,354,354,,,430,425,https://doi.org/10.1021/cm050638f,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,Chemistry of Materials,2005
20,Ca0.74Al2Si2O8Eu0.01Mn0.25,Ca0.74Al2Si2O8,Eu2+,0.01,Mn2+,0.25,298,425,0.33,0.31,,,,354,354,,,340,425,https://doi.org/10.1021/cm050638f,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,Chemistry of Materials,2005
21,Ca0.94Al2Si2O8Eu0.01,Ca0.94Al2Si2O8,Eu2+,0.01,,,298,425,0.17,0.11,,,,354,354,,,730,425,https://doi.org/10.1021/cm050638f,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,Chemistry of Materials,2005
22,Ca0.94Al2Si2O8Eu0.01Mn0.05,Ca0.94Al2Si2O8,Eu2+,0.01,Mn2+,0.05,298,425,0.18,0.12,,,,354,354,,,,425,https://doi.org/10.1021/cm050638f,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,Chemistry of Materials,2005
23,Ca0.89Al2Si2O8Eu0.01Mn0.1,Ca0.89Al2Si2O8,Eu2+,0.01,Mn2+,0.1,298,425,0.2,0.14,,,,354,354,,,660,425,https://doi.org/10.1021/cm050638f,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,Chemistry of Materials,2005
24,Ca0.84Al2Si2O8Eu0.01Mn0.15,Ca0.84Al2Si2O8,Eu2+,0.01,Mn2+,0.15,298,425,0.24,0.21,,,,354,354,,,570,425,https://doi.org/10.1021/cm050638f,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,Chemistry of Materials,2005
25,Ca0.79Al2Si2O8Eu0.01Mn0.2,Ca0.79Al2Si2O8,Eu2+,0.01,Mn2+,0.2,298,425,0.3,0.29,,,,354,354,,,430,425,https://doi.org/10.1021/cm050638f,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,Chemistry of Materials,2005
26,Ca0.74Al2Si2O8Eu0.01Mn0.25,Ca0.74Al2Si2O8,Eu2+,0.01,Mn2+,0.25,298,425,0.33,0.31,,,,354,354,,,340,425,https://doi.org/10.1021/cm050638f,"mp-6532,mp-758658,mp-1227479", icsd-252652 icsd-252654 icsd-252649 icsd-654 icsd-31127 icsd-86319 icsd-34942 icsd-252657 icsd-252653 icsd-252650 icsd-86317 icsd-252655 icsd-252656 icsd-23922 icsd-22023 icsd-252648 icsd-22022 icsd-86318 icsd-252651 icsd-202712,Chemistry of Materials,2005
27,Mg2Y8Si6O26Ce0.01,Mg2Y8Si6O26,Ce3+,0.01,,,298,425,0.193,0.182,48,,,292,292,,,61.2,425,https://doi.org/10.1021/jp204824d,,,Journal of Physical Chemistry C,2011
28,Mg2Y8Si6O26Ce0.01Mn0.01,Mg2Y8Si6O26,Ce3+,0.01,Mn2+,0.01,298,425,0.225,0.202,39,,,292,,,,56.8,425,https://doi.org/10.1021/jp204824d,,,Journal of Physical Chemistry C,2011
29,Mg2Y8Si6O26Ce0.01Mn0.03,Mg2Y8Si6O26,Ce3+,0.01,Mn2+,0.03,298,425,0.252,0.217,49,,,292,,,,47.3,425,https://doi.org/10.1021/jp204824d,,,Journal of Physical Chemistry C,2011
30,SrLa0.86MgTaO6Dy0.07Eu0.07,SrLa0.86MgTaO6,Dy3+,0.07,Eu3+,0.07,298,425,0.19,0.078,,,,250,,,,,,https://doi.org/10.1016/j.materresbull.2016.12.035,mp-1218203,,Materials Research Bulletin,2017
31,SrLa0.83MgTaO6Dy0.07Eu0.1,SrLa0.83MgTaO6,Dy3+,0.07,Eu3+,0.1,298,425,0.186,0.07,,,,250,,,,,,https://doi.org/10.1016/j.materresbull.2016.12.035,mp-1218203,,Materials Research Bulletin,2017
32,NaCaBO3Ce0.01,NaCaBO3,Ce3+,0.01,,,298,425,0.161,0.107,75,,,347,,,,37.1236,425,https://doi.org/10.1039/C3DT52328D,,,Dalton Transactions,2014
33,NaCaBO3Ce0.01Mn0.01,NaCaBO3,Ce3+,0.01,Mn2+,0.01,298,425,0.274,0.177,,,,347,,,,34.8553,425,https://doi.org/10.1039/C3DT52328D,,,Dalton Transactions,2014
34,NaCaBO3Ce0.01Mn0.03,NaCaBO3,Ce3+,0.01,Mn2+,0.03,298,425,0.358,0.247,,,,347,,,,29.8337,425,https://doi.org/10.1039/C3DT52328D,,,Dalton Transactions,2014
35,Ca4Y6Si6O25Ce0.1,Ca4Y6Si6O25,Ce3+,0.1,,,298,426,0.166,0.133,,,,356,,,,52.22,426,https://doi.org/10.1111/jace.13292,,,Journal of the American Ceramic Society,2014
36,Ca4Y6Si6O25Ce0.1Eu0.01,Ca4Y6Si6O25,Ce3+,0.1,Eu2+,0.01,298,426,0.221,0.195,,,,356,,,,38.05,426,https://doi.org/10.1111/jace.13292,,,Journal of the American Ceramic Society,2014
37,Ca4Y6Si6O25Ce0.1Eu0.03,Ca4Y6Si6O25,Ce3+,0.1,Eu2+,0.03,298,426,0.289,0.279,,,,356,,,,,,https://doi.org/10.1111/jace.13292,,,Journal of the American Ceramic Society,2014
38,Ba9Lu1.9Si6O24Ce0.1,Ba9Lu1.9Si6O24,Ce3+,0.1,,,298,426,0.219,0.241,,,,333,,,,26,380,https://doi.org/10.1021/acs.jpcc.5b07566,,,Journal of Physical Chemistry C,2015
39,Ba8.98Lu1.9Si6O24Ce0.1Mn0.02,Ba8.98Lu1.9Si6O24,Ce3+,0.1,Mn2+,0.02,298,426,0.282,0.265,,,,333,,,,,,https://doi.org/10.1021/acs.jpcc.5b07566,,,Journal of Physical Chemistry C,2015
40,NaCa0.995BO3Ce0.005,NaCa0.995BO3,Ce3+,0.005,,,298,427,,,,,,347,347,,,37.65,427,https://doi.org/10.1016/j.jlumin.2014.01.012,,,Journal of Luminescence,2014
41,NaCa0.99BO3Ce0.01,NaCa0.99BO3,Ce3+,0.01,,,298,427,0.159,0.093,75,,403,347,347,,,36.04,427,https://doi.org/10.1016/j.jlumin.2014.01.012,,,Journal of Luminescence,2014
42,NaCa0.98BO3Ce0.02,NaCa0.98BO3,Ce3+,0.02,,,298,427,,,,,,347,347,,,35.83,427,https://doi.org/10.1016/j.jlumin.2014.01.012,,,Journal of Luminescence,2014
43,NaCa0.96BO3Ce0.04,NaCa0.96BO3,Ce3+,0.04,,,298,427,,,,,,347,347,,,34.68,427,https://doi.org/10.1016/j.jlumin.2014.01.012,,,Journal of Luminescence,2014
44,NaCa0.95BO3Ce0.05,NaCa0.95BO3,Ce3+,0.05,,,298,427,,,,,,347,347,,,31.94,427,https://doi.org/10.1016/j.jlumin.2014.01.012,,,Journal of Luminescence,2014
45,Li1.05Sr3.9B3O9Ce0.05,Li1.05Sr3.9B3O9,Ce3+,0.05,,,298,427,,,,,413,342,342,,,,427,https://doi.org/10.1016/j.jallcom.2011.01.194,mp-554003, icsd-170861,Journal of Alloys and Compounds,2011
46,Mg3P2O8Eu0.04,Mg3P2O8,Eu2+,0.04,,,298,427,0.18,0.1,,27.63,,378,378,,,760,427,https://doi.org/10.1002/ejic.201500236,"mp-14396,mp-560623,mp-554171", icsd-261231 icsd-31005 icsd-9849 icsd-84710,European Journal of Inorganic Chemistry,2015
47,Mg3P2O8Eu0.04Mn0.015,Mg3P2O8,Eu2+,0.04,Mn2+,0.015,298,427,,,,,,378,,,,404,427,https://doi.org/10.1002/ejic.201500236,"mp-14396,mp-560623,mp-554171", icsd-261231 icsd-31005 icsd-9849 icsd-84710,European Journal of Inorganic Chemistry,2015
48,Mg3P2O8Eu0.04Mn0.03,Mg3P2O8,Eu2+,0.04,Mn2+,0.03,298,427,0.265,0.15,,,,378,,,,,427,https://doi.org/10.1002/ejic.201500236,"mp-14396,mp-560623,mp-554171", icsd-261231 icsd-31005 icsd-9849 icsd-84710,European Journal of Inorganic Chemistry,2015
49,Mg3P2O8Eu0.04Mn0.06,Mg3P2O8,Eu2+,0.04,Mn2+,0.06,298,427,0.305,0.18,,,,378,378,,,,427,https://doi.org/10.1002/ejic.201500236,"mp-14396,mp-560623,mp-554171", icsd-261231 icsd-31005 icsd-9849 icsd-84710,European Journal of Inorganic Chemistry,2015
50,Ba2Y2.99Si3O12FCe0.01,Ba2Y2.99Si3O12F,Ce3+,0.01,,,298,428,,,42,,,355,,,,,,https://doi.org/10.1111/jace.12765,,,Journal of the American Ceramic Society,2014
51,Ca1.9Gd8Si6O26Ce0.05,Ca1.9Gd8Si6O26,Ce3+,0.05,,,298,428,0.192,0.173,6.2,,,352,287,,,,428,https://doi.org/10.1039/C1JM11650A,,,Journal of Materials Chemistry,2011
52,Ca5P3O12ClCe0.08,Ca5P3O12Cl,Ce3+,0.08,,,298,428,0.164,0.161,78.6,,,340,,,,,,https://doi.org/10.1039/C5TC03482E,"mp-555164,mp-39460,mp-554236", icsd-2789 icsd-24237 icsd-184825 icsd-184824,Journal of Materials Chemistry C,2016
53,Ca5P3O12ClCe0.08Tb0.005,Ca5P3O12Cl,Ce3+,0.08,Tb3+,0.005,298,428,0.195,0.241,31.4,,,340,,,,,,https://doi.org/10.1039/C5TC03482E,"mp-555164,mp-39460,mp-554236", icsd-2789 icsd-24237 icsd-184825 icsd-184824,Journal of Materials Chemistry C,2016
54,Ca5P3O12ClCe0.08Tb0.01,Ca5P3O12Cl,Ce3+,0.08,Tb3+,0.01,298,428,0.226,0.293,40,,,340,,,,,,https://doi.org/10.1039/C5TC03482E,"mp-555164,mp-39460,mp-554236", icsd-2789 icsd-24237 icsd-184825 icsd-184824,Journal of Materials Chemistry C,2016
55,Ca5P3O12ClCe0.08Mn0.01,Ca5P3O12Cl,Ce3+,0.08,Mn2+,0.01,298,428,0.212,0.198,49.8,,,340,,,,,,https://doi.org/10.1039/C5TC03482E,"mp-555164,mp-39460,mp-554236", icsd-2789 icsd-24237 icsd-184825 icsd-184824,Journal of Materials Chemistry C,2016
56,Ca5P3O12ClCe0.08Mn0.03,Ca5P3O12Cl,Ce3+,0.08,Mn2+,0.03,298,428,0.289,0.261,68.6,,,340,,,,,,https://doi.org/10.1039/C5TC03482E,"mp-555164,mp-39460,mp-554236", icsd-2789 icsd-24237 icsd-184825 icsd-184824,Journal of Materials Chemistry C,2016
57,Ca5P3O12ClCe0.08Mn0.05,Ca5P3O12Cl,Ce3+,0.08,Mn2+,0.05,298,428,0.267,0.242,67.6,,,340,,,,,,https://doi.org/10.1039/C5TC03482E,"mp-555164,mp-39460,mp-554236", icsd-2789 icsd-24237 icsd-184825 icsd-184824,Journal of Materials Chemistry C,2016
58,Ca5P3O12ClCe0.08Mn0.08,Ca5P3O12Cl,Ce3+,0.08,Mn2+,0.08,298,428,0.24,0.219,68,,,340,,,,,,https://doi.org/10.1039/C5TC03482E,"mp-555164,mp-39460,mp-554236", icsd-2789 icsd-24237 icsd-184825 icsd-184824,Journal of Materials Chemistry C,2016
59,Ca11Si4O22B2Ce0.02,Ca11Si4O22B2,Ce3+,0.02,,,298,430,0.154,0.082,,,,353,,,,,,https://doi.org/10.1039/C3TC30933A,,,Journal of Materials Chemistry C,2013
60,KSr0.995Eu0.005,KSr0.995,Eu2+,0.005,,,298,430,0.166,0.108,,,,365,,,,944,430,https://doi.org/10.1039/C3TC30128A,,,Journal of Materials Chemistry C,2013
61,Ca1.99Gd7.6Si6O26Ce0.05Mn0.005,Ca1.99Gd7.6Si6O26,Ce3+,0.05,Mn2+,0.005,298,430,0.229,0.198,6,,,352,287,,,,428,https://doi.org/10.1039/C1JM11650A,,,Journal of Materials Chemistry,2011
62,Ca1.98Gd7.6Si6O26Ce0.05Mn0.01,Ca1.98Gd7.6Si6O26,Ce3+,0.05,Mn2+,0.01,298,430,0.261,0.225,6.1,,,352,287,,,22.76,428,https://doi.org/10.1039/C1JM11650A,,,Journal of Materials Chemistry,2011
63,Ca1.97Gd7.6Si6O26Ce0.05Mn0.015,Ca1.97Gd7.6Si6O26,Ce3+,0.05,Mn2+,0.015,298,430,0.278,0.233,7.4,,,352,287,,,,428,https://doi.org/10.1039/C1JM11650A,,,Journal of Materials Chemistry,2011
64,Ca1.96Gd7.6Si6O26Ce0.05Mn0.02,Ca1.96Gd7.6Si6O26,Ce3+,0.05,Mn2+,0.02,298,430,0.318,0.27,8.9,,,352,287,,,,428,https://doi.org/10.1039/C1JM11650A,,,Journal of Materials Chemistry,2011
65,Ca1.94Gd7.6Si6O26Ce0.05Mn0.03,Ca1.94Gd7.6Si6O26,Ce3+,0.05,Mn2+,0.03,298,430,0.374,0.314,16.6,,,352,287,,,19.56,428,https://doi.org/10.1039/C1JM11650A,,,Journal of Materials Chemistry,2011
66,Ca1.9Gd7.6Si6O26Ce0.05Mn0.05,Ca1.9Gd7.6Si6O26,Ce3+,0.05,Mn2+,0.05,298,430,0.419,0.349,18.8,,,352,287,,,15.68,428,https://doi.org/10.1039/C1JM11650A,,,Journal of Materials Chemistry,2011
67,Ca1.8Gd7.6Si6O26Ce0.05Mn0.1,Ca1.8Gd7.6Si6O26,Ce3+,0.05,Mn2+,0.1,298,430,0.472,0.384,19.5,,,352,287,,,,428,https://doi.org/10.1039/C1JM11650A,,,Journal of Materials Chemistry,2011
68,Ca1.64Gd7.6Si6O26Ce0.05Mn0.18,Ca1.64Gd7.6Si6O26,Ce3+,0.05,Mn2+,0.18,298,430,0.514,0.413,27.2,,,352,287,,,,428,https://doi.org/10.1039/C1JM11650A,,,Journal of Materials Chemistry,2011
69,Ca1.5Gd7.6Si6O26Ce0.05Mn0.25,Ca1.5Gd7.6Si6O26,Ce3+,0.05,Mn2+,0.25,298,430,0.548,0.414,30.6,,,352,287,,,,428,https://doi.org/10.1039/C1JM11650A,,,Journal of Materials Chemistry,2011
70,Ca10.78Si4O22B2Ce0.02,Ca10.78Si4O22B2,Ce3+,0.02,,,298,430,0.154,0.082,15.9,,,353,353,,,,430,https://doi.org/10.1039/C3TC30933A,,,Journal of Materials Chemistry C,2013
71,BaGd2O4Bi0.08,BaGd2O4,Bi3+,0.08,,,298,432,0.155,0.079,,,,337,337,,,422,432,https://doi.org/10.1016/j.jlumin.2018.10.050,mp-17143, icsd-78484 icsd-427487,Journal of Luminescence,2019
72,BaGd2O4Bi0.08Eu0.01,BaGd2O4,Bi3+,0.08,Eu3+,0.01,298,432,,,,,,337,,,,407,432,https://doi.org/10.1016/j.jlumin.2018.10.050,mp-17143, icsd-78484 icsd-427487,Journal of Luminescence,2019
73,BaGd2O4Bi0.08Eu0.02,BaGd2O4,Bi3+,0.08,Eu3+,0.02,298,432,,,,,,337,,,,352,432,https://doi.org/10.1016/j.jlumin.2018.10.050,mp-17143, icsd-78484 icsd-427487,Journal of Luminescence,2019
74,BaGd2O4Bi0.08Eu0.08,BaGd2O4,Bi3+,0.08,Eu3+,0.08,298,432,,,,,,337,,,,302,432,https://doi.org/10.1016/j.jlumin.2018.10.050,mp-17143, icsd-78484 icsd-427487,Journal of Luminescence,2019
75,K0.9Na0.1Sr0.995Eu0.005,K0.9Na0.1Sr0.995,Eu2+,0.005,,,298,434,,,,,,365,,,,942,434,https://doi.org/10.1039/C3TC30128A,,,Journal of Materials Chemistry C,2013
76,Sr3B2O6Ce0.01,Sr3B2O6,Ce3+,0.01,,,298,434,0.2,0.16,,,,351,351,,,,434,https://doi.org/10.1063/1.2772195,mp-16432, icsd-93395,Applied Physics Letters,2007
77,Sr3B2O6Ce0.01Eu0.001,Sr3B2O6,Ce3+,0.01,Eu2+,0.001,298,434,0.25,0.19,,,,351,351,,,,434,https://doi.org/10.1063/1.2772195,mp-16432, icsd-93395,Applied Physics Letters,2007
78,Sr3B2O6Ce0.01Eu0.0015,Sr3B2O6,Ce3+,0.01,Eu2+,0.0015,298,434,0.31,0.24,,,,351,351,,,,434,https://doi.org/10.1063/1.2772195,mp-16432, icsd-93395,Applied Physics Letters,2007
79,Sr3B2O6Ce0.01Eu0.002,Sr3B2O6,Ce3+,0.01,Eu2+,0.002,298,434,0.43,0.36,,,,351,351,,,,434,https://doi.org/10.1063/1.2772195,mp-16432, icsd-93395,Applied Physics Letters,2007
80,Sr3B2O6Ce0.01Eu0.0025,Sr3B2O6,Ce3+,0.01,Eu2+,0.0025,298,434,0.44,0.37,,,,351,351,,,,434,https://doi.org/10.1063/1.2772195,mp-16432, icsd-93395,Applied Physics Letters,2007
81,Ba2Y2.97Si3O12FCe0.03,Ba2Y2.97Si3O12F,Ce3+,0.03,,,298,435,,,51,,,355,,,,,,https://doi.org/10.1111/jace.12765,,,Journal of the American Ceramic Society,2014
82,Ca4.437Sr4.5YP7O28Eu0.007,Ca4.437Sr4.5YP7O28,Eu2+,0.007,,,298,435,0.162,0.098,,,,380,,,,,,https://doi.org/10.1039/C1JM11018G,,,Journal of Materials Chemistry,2011
83,BaY1.95Si3O10Ce0.05,BaY1.95Si3O10,Ce3+,0.05,,,298,436,0.1501,0.0805,,,,365,365,,,32.88,436,https://doi.org/10.1039/C5TC00962F,mp-560478, icsd-240470,Journal of Materials Chemistry C,2015
84,Y2Mg1.999Al2Si2O12Eu0.001,Y2Mg1.999Al2Si2O12,Eu2+,0.001,,,298,436,0.156,0.105,37,,,370,,,,,,https://doi.org/10.1021/acssuschemeng.9b01401,,,ACS Sustainable Chemistry and Engineering,2019
85,K0.8Na0.2Sr0.995Eu0.005,K0.8Na0.2Sr0.995,Eu2+,0.005,,,298,437,0.162,0.202,,,,365,,,,1020,437,https://doi.org/10.1039/C3TC30128A,,,Journal of Materials Chemistry C,2013
86,Sr0.788Ca1.182Sb2O7Bi0.03,Sr0.788Ca1.182Sb2O7,Bi3+,0.03,,,298,437,0.1488,0.0573,37.74,25.59,,372,347,,,258.39,496,https://doi.org/10.1021/acssuschemeng.1c01396,mp-4103, icsd-77062 icsd-62960,ACS Sustainable Chemistry and Engineering,2021
87,Sr0.394Ca1.576Sb2O7Bi0.03,Sr0.394Ca1.576Sb2O7,Bi3+,0.03,,,298,437,0.1498,0.053,51.27,36.17,,372,347,,,263.11,496,https://doi.org/10.1021/acssuschemeng.1c01396,mp-4103, icsd-77062 icsd-62960,ACS Sustainable Chemistry and Engineering,2021
88,Ca1.97Sb2O7Bi0.03,Ca1.97Sb2O7,Bi3+,0.03,,,298,437,0.1482,0.0617,62.38,41.97,,372,347,,,296.24,496,https://doi.org/10.1021/acssuschemeng.1c01396,"mp-16280,mp-1190115,mp-14145", icsd-261535 icsd-77063 icsd-166282 icsd-238545 icsd-24245,ACS Sustainable Chemistry and Engineering,2021
89,CaSb2O6Bi0.75,CaSb2O6,Bi3+,0.75,,,298,437,0.1505,0.049,,,,336,336,,,291,437,https://doi.org/10.1016/j.mssp.2015.09.015,"mp-9125,mvc-1657", icsd-74539,Materials Science in Semiconductor Processing,2016
90,CaSb2O6Li0.75Bi0.75,CaSb2O6Li0.75,Bi3+,0.75,,,298,437,0.1495,0.0529,,,,336,336,,,183,437,https://doi.org/10.1016/j.mssp.2015.09.015,"mp-9125,mvc-1657", icsd-74539,Materials Science in Semiconductor Processing,2016
91,CaSb2O6Na0.75Bi0.75,CaSb2O6Na0.75,Bi3+,0.75,,,298,437,0.1497,0.0509,,,,336,336,,,256,437,https://doi.org/10.1016/j.mssp.2015.09.015,"mp-9125,mvc-1657", icsd-74539,Materials Science in Semiconductor Processing,2016
