Tag,Inorganic phosphor,Host,1st dopant,1st doping concentration,2nd dopant,2nd doping concentration ,Temp. (K),Emission max. (nm),CIE x coordinate,CIE y coordinate,Int. quantum efficiency (%),Ext. quantum efficiency (%),Thermal quenching temp. (K),Excitation source (nm),1st Excitation max. (nm),2nd Excitation max. (nm),3rd Excitation max. (nm),Decay time (ns),Monitoring energy (nm),Reference,MP-ID,ICSD-ID,Journal,Year
1,Y2Mg1.9Al2Si2O12Eu0.1,Y2Mg1.9Al2Si2O12,Eu2+,0.1,,,298,491,0.218,0.359,19,,,370,,,,,,https://doi.org/10.1021/acssuschemeng.9b01401,,,ACS Sustainable Chemistry and Engineering,2019
2,Ca7.587Sr1.35YP7O28Eu0.007,Ca7.587Sr1.35YP7O28,Eu2+,0.007,,,298,492,0.217,0.353,,,,380,,,,,,https://doi.org/10.1039/C1JM11018G,,,Journal of Materials Chemistry,2011
3,Ba3Y0.5Lu0.5Al2O7.5Ce0.03,Ba3Y0.5Lu0.5Al2O7.5,Ce3+,0.03,,,298,493,0.2099,0.3992,,,410,375,397,,,22.56,480,https://doi.org/10.1016/j.cej.2017.01.044,mp-1214519,,Chemical Engineering Journal,2017
4,Ba2V2O7,Ba2V2O7,,,,,298,494,0.277,0.389,25,,,350,,,,,494,https://doi.org/10.1021/jp910884c,mp-19474, icsd-34320,Journal of Physical Chemistry C,2010
5,Ca9GdP7O28Eu0.007,Ca9GdP7O28,Eu2+,0.007,,,298,494,0.219,0.371,,,,380,,,,,,https://doi.org/10.1021/jp106693z,,,Journal of Physical Chemistry C,2010
6,Ca8.28GdP7O28Eu0.007Mn0.01,Ca8.28GdP7O28,Eu2+,0.007,Mn2+,0.01,298,494,0.257,0.36,,,,380,,,,,,https://doi.org/10.1021/jp106693z,,,Journal of Physical Chemistry C,2010
7,Ca8.19GdP7O28Eu0.007Mn0.02,Ca8.19GdP7O28,Eu2+,0.007,Mn2+,0.02,298,494,0.326,0.328,,,,380,,,,,,https://doi.org/10.1021/jp106693z,,,Journal of Physical Chemistry C,2010
8,Ca7.137Sr1.8YP7O28Eu0.007,Ca7.137Sr1.8YP7O28,Eu2+,0.007,,,298,494,0.223,0.369,,,,380,,,,,,https://doi.org/10.1039/C1JM11018G,,,Journal of Materials Chemistry,2011
9,BaSi2O2N2Eu1,BaSi2O2N2,Eu2+,1,,,298,495,,,57.4,,480,450,,,,,,https://doi.org/10.1016/j.actamat.2021.116813,,,Acta Materialia,2021
10,BaSi2N2O2Eu0.02,BaSi2N2O2,Eu2+,0.02,,,298,495,0.076,0.44,71,,600,450,,,,,,https://doi.org/10.1021/cm802394w,mp-6764, icsd-419450 icsd-173758,Chemistry of Materials,2008
11,Ba0.98Si2N2O2Eu0.02,Ba0.98Si2N2O2,Eu3+,0.02,,,298,495,0.076,0.44,71,,600,450,,,,470,,https://doi.org/10.1021/cm802394w,mp-6764, icsd-419450 icsd-173758,Chemistry of Materials,2008
12,Sr1.97Sb2O7Bi0.03,Sr1.97Sb2O7,Bi3+,0.03,,,298,496,0.1897,0.4505,50.48,23.74,,372,372,,,299.41,496,https://doi.org/10.1021/acssuschemeng.1c01396,mp-4103, icsd-77062 icsd-62960,ACS Sustainable Chemistry and Engineering,2021
13,Sr1.773Ca0.197Sb2O7Bi0.03,Sr1.773Ca0.197Sb2O7,Bi3+,0.03,,,298,496,0.1654,0.3525,43.8,21.71,,372,372,,,294.67,496,https://doi.org/10.1021/acssuschemeng.1c01396,mp-4103, icsd-77062 icsd-62960,ACS Sustainable Chemistry and Engineering,2021
14,Sr1.576Ca0.394Sb2O7Bi0.03,Sr1.576Ca0.394Sb2O7,Bi3+,0.03,,,298,496,0.1524,0.2724,38.6,16.13,,372,372,,,287.49,496,https://doi.org/10.1021/acssuschemeng.1c01396,mp-4103, icsd-77062 icsd-62960,ACS Sustainable Chemistry and Engineering,2021
15,Sr1.182Ca0.788Sb2O7Bi0.03,Sr1.182Ca0.788Sb2O7,Bi3+,0.03,,,298,496,0.1433,0.1331,30.41,16.13,,372,372,,,277.03,496,https://doi.org/10.1021/acssuschemeng.1c01396,mp-4103, icsd-77062 icsd-62960,ACS Sustainable Chemistry and Engineering,2021
16,Ca6.687Sr2.25YP7O28Eu0.007,Ca6.687Sr2.25YP7O28,Eu2+,0.007,,,298,496,0.238,0.383,,,,380,,,,,,https://doi.org/10.1039/C1JM11018G,,,Journal of Materials Chemistry,2011
17,Ca2NaZn2V3O12,Ca2NaZn2V3O12,,,,,298,497,0.2146,0.338,11.4,,,365,365,,,9550000,497,https://doi.org/10.1016/j.jpcs.2013.05.002,mp-706235,,Journal of Physics and Chemistry of Solids,2013
18,Ca1.99Na1.01Zn2V3O12Sm0.01,Ca1.99Na1.01Zn2V3O12,Sm3+,0.01,,,298,497,0.2548,0.384,,,,365,340,,,,497,https://doi.org/10.1016/j.jpcs.2013.05.002,mp-706235,,Journal of Physics and Chemistry of Solids,2013
19,Ca1.97Na1.03Zn2V3O12Sm0.03,Ca1.97Na1.03Zn2V3O12,Sm3+,0.03,,,298,497,0.2673,0.3794,,,,365,340,,,9030000,497,https://doi.org/10.1016/j.jpcs.2013.05.002,mp-706235,,Journal of Physics and Chemistry of Solids,2013
20,Ca1.92Na1.08Zn2V3O12Sm0.08,Ca1.92Na1.08Zn2V3O12,Sm3+,0.08,,,298,497,0.2794,0.374,15.1,,,365,340,,,,497,https://doi.org/10.1016/j.jpcs.2013.05.002,mp-706235,,Journal of Physics and Chemistry of Solids,2013
21,Ca1.9Na1.1Zn2V3O12Sm0.1,Ca1.9Na1.1Zn2V3O12,Sm3+,0.1,,,298,497,0.2931,0.3741,,,,365,340,,,,497,https://doi.org/10.1016/j.jpcs.2013.05.002,mp-706235,,Journal of Physics and Chemistry of Solids,2013
22,Ba3Sc4O9Bi0.016,Ba3Sc4O9,Bi3+,0.016,,,298,500,0.2553,0.4034,,,486,330,,,,729.12,500,https://doi.org/10.1111/jace.14789,,,Journal of the American Ceramic Society,2017
23,Rb3YV2O8,Rb3YV2O8,,,,,298,500,,,71,47,423,362,362,,,20060,500,https://doi.org/10.1021/acs.inorgchem.0c00015,mp-1209350,,Inorganic Chemistry,2020
24,Rb3LuV2O8,Rb3LuV2O8,,,,,298,500,,,85,38,423,362,362,,,23750,500,https://doi.org/10.1021/acs.inorgchem.0c00015,mp-1209398,,Inorganic Chemistry,2020
